time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772060233.7181258,150,46,14,0,0,0,23.352265625,156389,55.926972304504936,1008.3398843628261,40.96050613026023
1772060234.7303147,138,42,12,0,0,0,23.3411328125,157226,55.918829378855015,1008.3351961202071,40.999692858065885
1772060235.7423291,138,42,12,0,0,0,23.3305859375,158072,55.8843381541894,1008.3295958375768,41.04650307576508
1772060236.7545493,138,42,12,0,0,0,23.324921875,159936,55.976076908896296,1008.3335172028386,41.013726143341245
1772060237.7668269,162,48,12,0,0,0,23.320234375,162442,56.008483442609624,1008.3518149789588,40.860784608699994
1772060238.7791054,162,48,12,0,0,0,23.3227734375,164874,56.03528033574244,1008.3704859987708,40.704725641743295
1772060239.7912693,162,48,12,0,0,0,23.3315625,165804,56.069557323174934,1008.3641486424257,40.757695238318895
1772060240.8027663,156,46,10,0,0,0,23.3458203125,167379,56.210460361204795,1008.3682553958906,40.723369684060884
1772060241.8144183,156,46,10,0,0,0,23.363203125,168338,56.28568314558311,1008.3772815978341,40.64792620941622
1772060242.8265855,156,46,10,0,0,0,23.37140625,169634,56.30006225480989,1008.3865284894651,40.57063871676972
1772060243.838873,168,50,10,0,0,0,23.3755078125,170290,56.34036434523327,1008.3838146810208,40.59332124711814
1772060244.8511953,168,50,10,0,0,0,23.3708203125,171283,56.38608038202027,1008.3709316066336,40.70100112269586
1772060245.8634446,168,50,10,0,0,0,23.3594921875,173645,56.42425918488577,1008.364101844509,40.7580863908725
